ds,y,syl
2020.12.23,23824.99,-0.023992455
2020.12.24,23253.37,0.019874969
2020.12.25,23715.53,0.041240908
2020.12.26,24693.58,0.070853639
2020.12.27,26443.21,-0.007435935
2020.12.28,26246.58,0.030103351
2020.12.29,27036.69,0.012563668
2020.12.30,27376.37,0.054069258
2020.12.31,28856.59,0.004365381
2021.1.1,28982.56,0.014187498
2021.1.2,29393.75,0.095316521
2021.1.3,32195.46,0.025013465
2021.1.4,33000.78,-0.02926446
2021.1.5,32035.03,0.062795009
2021.1.6,34046.67,0.082643618
2021.1.7,36860.41,0.071231709
2021.1.8,39486.04,0.029990599
2021.1.9,40670.25,-0.010561283
2021.1.10,40240.72,-0.049716556
2021.1.11,38240.09,-0.070479698
2021.1.12,35544.94,-0.043131878
2021.1.13,34011.82,0.099415733
2021.1.14,37393.13,0.047210276
2021.1.15,39158.47,-0.059500537
2021.1.16,36828.52,-0.020726328
2021.1.17,36065.2,-0.007547165
2021.1.18,35793.01,0.02344983
2021.1.19,36632.35,-0.016712551
2021.1.20,36020.13,-0.013357809
2021.1.21,35538.98,-0.13340563
2021.1.22,30797.88,0.071579602
2021.1.23,33002.38,-0.027350755
2021.1.24,32099.74,0.005517179
2021.1.25,32276.84,-0.001040374
2021.1.26,32243.26,0.009258989
2021.1.27,32541.8,-0.065227799
2021.1.28,30419.17,0.098096036
2021.1.29,33403.17,0.027275555
2021.1.30,34314.26,0.000111907
2021.1.31,34318.1,-0.034431976
2021.2.1,33136.46,0.011662079
2021.2.2,33522.9,0.059862363
2021.2.3,35529.66,0.060416846
2021.2.4,37676.25,-0.017893501
2021.2.5,37002.09,0.034498592
2021.2.6,38278.61,0.027290698
2021.2.7,39323.26,-0.010049014
2021.2.8,38928.1,0.191023965
2021.2.9,46364.3,0.004858911
2021.2.10,46589.58,-0.03673375
2021.2.11,44878.17,0.069860469
2021.2.12,48013.38,-0.011288103
2021.2.13,47471.4,-0.006029104
2021.2.14,47185.19,0.032535209
2021.2.15,48720.37,-0.0157741
2021.2.16,47951.85,0.025197151
2021.2.17,49160.1,0.060173393
2021.2.18,52118.23,-0.009786979
2021.2.19,51608.15,0.083481969
2021.2.20,55916.5,0.001514759
2021.2.21,56001.2,0.026546931
2021.2.22,57487.86,-0.058524704
